tweet_id,username,timestamp,content,normalized_content,reply_count,repost_count,like_count,view_count,bookmark_count,mentions,hashtags,query_tag,synthetic,engagement_total
sample-0000000,sample_trader_380,2026-08-04T07:33:22+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,8,31,114,18339,3,,intraday,intraday,True,156
sample-0000001,sample_trader_217,2026-08-03T10:58:03+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",1,3,47,28707,7,,sensex,sensex,True,58
sample-0000002,sample_trader_360,2026-08-03T08:48:19+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",17,53,112,58928,18,,banknifty,banknifty,True,200
sample-0000003,sample_trader_175,2026-08-03T17:04:48+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",8,19,110,44168,3,,nifty50,nifty50,True,140
sample-0000004,sample_trader_310,2026-08-03T19:56:38+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,8,5,373,60267,17,,sensex,sensex,True,403
sample-0000005,sample_trader_151,2026-08-03T12:22:03+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",26,80,316,47450,18,,nifty50,nifty50,True,440
sample-0000006,sample_trader_396,2026-08-04T00:10:09+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",9,10,437,30562,3,,nifty50,nifty50,True,459
sample-0000007,sample_trader_190,2026-08-04T02:32:41+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,11,26,343,35043,20,nseindia,banknifty,banknifty,True,400
sample-0000008,sample_trader_374,2026-08-03T13:01:10+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,7,20,236,49785,8,,intraday,intraday,True,271
sample-0000009,sample_trader_394,2026-08-03T20:39:36+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,24,7,117,4257,10,,intraday,intraday,True,158
sample-0000010,sample_trader_368,2026-08-03T11:48:59+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",10,27,335,65485,12,,nifty50,nifty50,True,384
sample-0000011,sample_trader_136,2026-08-04T03:15:54+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,4,31,381,73629,17,,sensex,sensex,True,433
sample-0000012,sample_trader_205,2026-08-03T11:13:16+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,11,28,70,66834,15,,banknifty,banknifty,True,124
sample-0000013,sample_trader_322,2026-08-04T02:54:07+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",5,54,305,8376,12,,intraday,intraday,True,376
sample-0000014,sample_trader_6,2026-08-03T12:19:28+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,21,14,349,70431,8,,banknifty,banknifty,True,392
sample-0000015,sample_trader_223,2026-08-03T21:46:51+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",5,58,1,34572,16,,banknifty,banknifty,True,80
sample-0000016,sample_trader_153,2026-08-03T09:42:01+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,26,64,311,26121,4,,nifty50,nifty50,True,405
sample-0000017,sample_trader_166,2026-08-03T10:39:36+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,15,2,57,47626,9,,sensex,sensex,True,83
sample-0000018,sample_trader_375,2026-08-04T05:20:54+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",15,8,500,69872,4,,intraday,intraday,True,527
sample-0000019,sample_trader_271,2026-08-03T22:48:59+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",27,77,216,27810,17,,sensex,sensex,True,337
sample-0000020,sample_trader_344,2026-08-03T17:56:24+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",20,47,224,67889,14,,nifty50,nifty50,True,305
sample-0000021,sample_trader_11,2026-08-03T20:09:27+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,18,70,117,77178,7,nseindia,sensex,sensex,True,212
sample-0000022,sample_trader_35,2026-08-04T00:07:53+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,28,4,440,43359,2,,intraday,intraday,True,474
sample-0000023,sample_trader_277,2026-08-04T00:40:00+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",4,73,295,62003,7,,banknifty,banknifty,True,379
sample-0000024,sample_trader_50,2026-08-04T05:01:57+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,21,55,181,55569,13,,sensex,sensex,True,270
sample-0000025,sample_trader_207,2026-08-04T06:15:36+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",23,43,409,14372,7,,intraday,intraday,True,482
sample-0000026,sample_trader_217,2026-08-04T03:21:47+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",5,35,236,32792,2,,sensex,sensex,True,278
sample-0000027,sample_trader_334,2026-08-04T06:37:30+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,17,1,496,12274,7,,intraday,intraday,True,521
sample-0000028,sample_trader_206,2026-08-04T00:41:04+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,28,7,84,49722,0,,intraday,intraday,True,119
sample-0000029,sample_trader_217,2026-08-03T22:04:52+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",22,71,338,63838,4,,nifty50,nifty50,True,435
sample-0000030,sample_trader_377,2026-08-03T11:22:46+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",17,7,382,41154,1,nseindia,banknifty,banknifty,True,407
sample-0000031,sample_trader_261,2026-08-04T06:23:45+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",2,23,35,78042,2,,sensex,sensex,True,62
sample-0000032,sample_trader_292,2026-08-04T04:06:07+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",7,74,304,5259,19,,intraday,intraday,True,404
sample-0000033,sample_trader_105,2026-08-03T22:58:21+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,21,40,122,34864,12,,banknifty,banknifty,True,195
sample-0000034,sample_trader_162,2026-08-03T15:49:11+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,29,9,4,60118,19,,sensex,sensex,True,61
sample-0000035,sample_trader_110,2026-08-03T12:53:32+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,16,33,67,45795,2,,sensex,sensex,True,118
sample-0000036,sample_trader_225,2026-08-04T02:43:24+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,26,69,360,39701,19,,intraday,intraday,True,474
sample-0000037,sample_trader_154,2026-08-03T12:16:28+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,29,13,480,17651,8,,sensex,sensex,True,530
sample-0000038,sample_trader_145,2026-08-03T22:33:03+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,19,26,367,44992,6,,sensex,sensex,True,418
sample-0000039,sample_trader_27,2026-08-03T23:19:26+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",2,54,424,36315,1,nseindia,nifty50,nifty50,True,481
sample-0000040,sample_trader_380,2026-08-04T02:35:02+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",14,70,361,56107,17,nseindia,nifty50,nifty50,True,462
sample-0000041,sample_trader_19,2026-08-03T12:36:09+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",26,47,298,72470,4,,nifty50,nifty50,True,375
sample-0000042,sample_trader_408,2026-08-03T19:11:25+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,27,5,460,46948,6,,sensex,sensex,True,498
sample-0000043,sample_trader_209,2026-08-03T12:04:55+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,19,19,473,31079,5,,sensex,sensex,True,516
sample-0000044,sample_trader_92,2026-08-04T07:33:52+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",23,42,400,54014,7,,intraday,intraday,True,472
sample-0000045,sample_trader_241,2026-08-04T07:03:25+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,7,25,418,60382,11,,sensex,sensex,True,461
sample-0000046,sample_trader_338,2026-08-04T07:36:19+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,6,51,168,36567,2,,sensex,sensex,True,227
sample-0000047,sample_trader_261,2026-08-03T09:06:40+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",12,68,169,3667,3,,banknifty,banknifty,True,252
